Sweden ,400,400,651,700,750,819,854,874,873,899,892,893,831,880,896,870,868,845,887,903,902,913,911,872,899,925,912,876,896,938,959,924,938,968,1008,1019,1007,985,993,1006,1065,1045,1068,1118,1172,1195,1183,1104,1183,1206,1244,1207,1225,1094,1202,1359,1406,1445,1451,1479,1453,1539,1505,1452,1522,1520,1565,1549,1658,1625,1675,1665,1650,1726,1745,1769,1836,1826,1875,1888,1963,2050,2122,2176,2233,2209,2248,2239,2314,2394,2366,2544,2690,2622,2617,2776,2814,2900,3073,3100,3127,3265,3022,2820,2938,3111,2820,3105,3249,3407,3414,3674,3780,3885,4145,4306,4247,4100,4207,4535,4768,4991,5194,5371,5737,5180,5074,5157,5344,5441,5454,5994,6351,6398,6570,6769,6979,6974,7043,7339,7478,7702,7897,8045,8356,8792,9237,9602,10021,10618,11045,11276,11623,12036,12540,13011,13227,13533,14018,14485,14575,14825,14560,14498,14929,15016,14909,15076,15337,15804,16049,16442,16905,17298,17710,17781,17438,16997,16597,17066,17592,17824,18362,19073,19917,20710,20890,21361,21733,22292,22987,23912,24496,24409
Switzerland ,425,410,632,750,890,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488,1514,1606,1546,1365,1586,1575,1700,2133,2016,1745,1859,1989,1978,1862,2010,1980,1731,2033,2211,2102,2225,2108,2152,2397,2645,2568,2303,2331,2310,2450,2481,2400,2396,2657,2855,2956,2931,2990,2982,3182,2987,3207,3294,3179,3488,3536,3675,3697,3835,3833,3745,3783,3662,3808,3913,4206,4193,4078,4240,4331,4378,4373,4266,4233,4290,4277,3804,3798,4060,4314,4208,4618,4874,5039,5388,5626,5892,6171,6332,6246,5943,5710,5966,5952,5907,5908,6171,6390,6360,6397,6312,6107,6001,6089,7752,8181,9050,9116,8757,9064,9684,9630,9840,10287,10867,11439,11705,11297,11870,12457,13099,13354,13710,14191,14504,14727,15010,15374,16031,16904,17381,17774,18204,18414,17224,17170,17635,17662,18050,18779,18956,18560,18560,19038,19586,19786,19792,20243,20935,21487,21051,20831,20598,20653,20608,20647,21003,21594,21797,22475,22594,22536,22342,22787,23259,23986,24748,25104
United Kingdom ,400,400,714,974,1250,1706,,,,,,,,,,1749,1811,1774,1774,1828,1906,1957,1912,1996,2069,1990,1930,1869,1886,1981,2067,2185,2213,2272,2334,2330,2451,2480,2555,2602,2571,2730,2757,2742,2790,2830,2884,2880,2881,2935,3001,3023,2968,3037,3031,3190,3332,3319,3365,3386,3434,3430,3425,3403,3353,3477,3568,3643,3643,3622,3574,3600,3713,3849,4024,4009,3975,3846,3811,4029,4118,4249,4264,4428,4567,4492,4450,4525,4440,4428,4520,4631,4679,4449,4511,4611,4709,4762,4921,4927,5288,5384,5421,5459,4870,4548,4439,4637,4760,4921,5144,4936,5315,5357,5503,5441,5138,5148,5277,5608,5799,6035,6218,6266,6262,6856,7482,7639,7744,7405,7056,6745,6604,6746,6956,6939,7123,7091,7346,7619,7868,7929,8017,7966,8240,8645,8857,8865,9149,9568,9752,9885,10049,10410,10552,10767,10941,11294,12025,11859,11847,12115,12384,12828,13167,12931,12747,12955,13404,13720,14165,14742,15393,16110,16414,16430,16157,16133,16463,17137,17561,17997,18527,19023,19516,20353,20590,20946,21461,22096,22518,23107,23642,23742
Total 12 Western Europe ,599,425,797,906,1028,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652,,,,,,,,,,,,,,,,,,,,2080,2116,2184,2183,2278,2312,2254,2261,2271,2210,2289,2317,2381,2414,2415,2412,2438,2495,2546,2592,2635,2627,2622,2664,2734,2781,2854,2859,2965,3051,3067,3037,3043,3085,3114,3171,3244,3348,3302,3375,3375,3497,3601,3687,3441,3503,3640,3544,3438,3252,3313,3316,3586,3517,3777,3955,3980,4138,4298,4393,4297,4052,3906,4034,4179,4339,4525,4730,4833,5088,4992,5053,4995,4993,4776,4150,3917,4138,4390,4721,5005,5259,5412,5664,5940,6280,6512,6753,6864,7163,7585,7890,8166,8442,8857,9130,9379,9629,10073,10556,10925,11187,11560,12124,12312,12191,12700,13023,13367,13845,14001,13987,14072,14320,14662,15008,15395,15764,16316,16751,16797,16995,17121,17008,17428,17801,18039,18450,18855,19320,19993,20235,20347,20469,20847,21131,21684,22164,22246
Ireland ,,,526,615,715,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736,,,,,,,,2533,2598,2575,2569,2573,2572,2653,2737,2824,2897,2972,2885,2800,2882,2966,3052,2957,3052,3052,3052,3052,3052,3052,3052,3019,3052,3092,3230,3404,3453,3544,3642,3747,3794,3920,3897,3914,3870,4038,4282,4508,4636,4821,4986,5051,5080,5352,5770,6089,6199,6354,6663,6867,7042,7316,7302,7795,8250,8366,8541,8716,8821,8740,9056,9306,9265,9698,10234,10880,11818,11969,12275,12533,13191,14389,15481,17143,18265,19922,21551,22605,23823,24602,25379,26643,27760,29090,27898
Greece ,550,400,433,483,530,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,,,,,,,,,,,,,,,,,,,,880,,,,,,,,,,,,,,,,,,,,1178,,,,,,,,,,1351,,,,,,,,,,,,,1592,1502,1143,972,848,1430,1274,1433,1918,1963,1988,2057,2140,2180,2220,2234,2342,2258,2134,2289,2395,2418,2480,2455,2769,2677,2638,2223,1874,1579,1327,1116,938,1386,1763,1798,1869,1915,2062,2053,2309,2358,2514,2706,2859,2963,3040,3146,3393,3499,3841,4141,4509,4749,4951,5266,5766,6211,6624,7400,7655,7350,7722,8105,8255,8695,8904,8971,8896,8879,8866,9067,9316,9440,9375,9784,10111,10015,10204,10201,9982,10136,10321,10543,10902,11248,11617,12111,12626,13093,13725,14319,14705,15339,15925,16362
Portugal ,450,425,606,740,819,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,991,,,,919,,,,,,883,,,,891,920,941,945,964,975,933,954,988,966,959,932,969,964,959,947,970,992,1008,1034,1052,1100,1114,1118,1088,1128,1099,1087,1101,1079,1117,1125,1182,1214,1249,1302,1269,1266,1273,1279,1233,1231,1249,1219,1208,1228,1242,1257,1250,1258,1228,1234,1212,1150,1173,1229,1290,1430,1473,1401,1446,1419,1648,1470,1610,1571,1631,1643,1732,1784,1669,1523,1757,1747,1749,1615,1747,1708,1806,1893,1804,1928,2071,2046,2057,2086,2168,2161,2298,2393,2475,2564,2659,2672,2794,2956,3119,3330,3504,3718,3992,4164,4481,4873,4987,5473,5871,6355,7063,7048,6517,6814,7166,7340,7733,8044,8114,8280,8255,8089,8306,8641,9185,9868,10372,10826,11304,11417,11138,11179,11614,11994,12427,12939,13356,13813,14021,14068,13897,14048,14118,14262,14482,14436
Spain ,498,450,661,853,853,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,1089,1133,1136,1150,1202,1163,1132,1153,1200,1236,1248,1252,1277,1274,1230,1290,1283,1149,1181,1207,1298,1473,1598,1459,1496,1519,1668,1618,1520,1646,1679,1692,1720,1716,1661,1617,1585,1641,1630,1624,1654,1770,1700,1712,1689,1548,1619,1736,1756,1786,1901,1833,1829,1810,1777,1851,1896,1957,1977,1895,2017,1989,2056,2014,2033,2113,2073,2045,2044,2177,2212,2284,2290,2331,2451,2417,2600,2584,2739,2620,2529,2559,2486,2556,2583,1989,1808,1790,1915,2080,2030,2126,2188,2271,2102,2179,2198,2186,2155,2189,2386,2558,2528,2696,2778,2978,3046,3150,3050,3072,3436,3800,4151,4515,4762,5060,5334,5588,6032,6319,6618,7099,7661,8149,8346,8599,8833,9023,9068,9203,9186,9293,9478,9571,9722,9998,10520,11046,11582,12055,12327,12414,12262,12534,12860,13152,13643,14236,14872,15622,16163,16573,17059,17588,18194,18895,19551,19706
Total 14 small west European countries,467,400,721,698,789,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,,,,,,,,,,,,,,,,,,,,1602,,,,,,,,,,,,,,,,,,,,2028,,,,,,,,,,2361,,,,,,,,,,,,,2830,2639,2687,2788,2712,2633,2490,2536,2402,2749,2696,2894,3032,3049,3171,3294,3366,3291,3101,3198,3087,3198,3320,3462,3620,3697,3891,3824,3874,3834,3832,3666,3188,3009,3171,3367,3620,3846,3722,3964,4090,4178,4375,4604,4737,4796,4923,4988,5169,5361,5585,5779,6135,6379,6579,6739,7154,7399,7841,8256,8627,8560,8357,8900,9415,9830,10221,10436,10582,10833,11024,11523,11855,12377,12819,13448,14074,14445,14784,14958,15436,15809,16152,16563,17195,17077,17459,17849,18250,18667,19082,19499,19659,20074,20414,20389
Total 30  Western Europe ,576,427,771,888,993,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,,,,,,,,,,,,,,,,,,,,1953,,,,,,,,,,,,,,,,,,,,2483,,,,,,,,,,2885,,,,,,,,,,,,,3457,3236,3284,3405,3313,3226,3056,3125,3132,3375,3318,3544,3709,3728,3885,4017,4117,4022,3803,3683,3788,3919,4056,4158,4328,4412,4638,4554,4592,4543,4541,4360,3803,3625,3828,4041,4322,4569,4806,4951,5171,5422,5723,5944,6160,6265,6514,6879,7185,7465,7746,8145,8417,8667,8917,9336,9805,10169,10442,10837,11392,11586,11493,11955,12262,12585,13002,13154,13139,13224,13445,13743,14060,14423,14801,15350,15800,15908,16122,16243,16127,16517,16890,17147,17579,18008,18497,19176,19464,19628,19801,20199,20522,21087,21589,21672
